Price,Age,Mileage,FuelType,Horsepower,MetColor,Automatic,Displacement,Doors,Weight
22079,20,4466,Petrol,110,1,0,98,3,2436
39975,4,1,Diesel,116,0,0,122,5,3263
38130,4,2485,Diesel,116,1,0,122,5,3263
38468,4,932,Diesel,116,1,0,122,5,3263
30689,8,8235,Diesel,116,1,0,122,5,2910
30689,8,8235,Diesel,116,1,0,122,5,2910
28229,7,6214,Diesel,116,1,0,122,5,2800
30738,8,3728,Diesel,90,1,0,122,5,2822
26999,8,6736,Diesel,90,1,0,122,5,2800
22017,7,1,Petrol,110,1,0,98,3,2436
23678,20,39146,Diesel,90,1,0,122,5,2767
27368,17,35613,Diesel,110,1,0,122,5,2811
23309,13,35441,Petrol,110,0,0,98,5,2458
24539,19,31751,Diesel,90,1,0,122,5,2767
20111,14,24861,Petrol,110,1,0,98,5,2458
23309,20,24305,Petrol,110,1,0,98,5,2491
20849,17,22377,Petrol,110,0,0,98,5,2491
26753,16,22369,Petrol,110,1,0,98,5,2491
19619,20,22369,Petrol,110,1,0,98,5,2370
20295,20,21748,Petrol,97,1,0,85,5,2447
22079,17,20965,Petrol,97,1,0,85,5,2502
19496,13,20802,Petrol,110,1,0,98,5,2370
19988,20,20273,Petrol,97,1,0,85,5,2447
19619,20,18515,Petrol,97,1,0,85,5,2447
19988,19,18294,Petrol,97,1,0,85,5,2447
19619,13,18250,Petrol,110,1,0,98,4,2436
20295,20,18020,Petrol,97,0,0,85,5,2447
20295,19,17287,Petrol,97,0,0,85,5,2447
22694,19,17008,Petrol,97,0,0,85,5,2502
19988,13,15640,Petrol,110,1,0,98,5,2436
28290,11,15534,Diesel,116,1,0,122,5,2910
24477,20,14292,Petrol,110,1,0,98,5,2491
20234,20,14036,Petrol,97,1,0,85,5,2447
29459,19,13474,Petrol,192,1,0,110,5,2612
24539,13,13315,Petrol,110,1,0,98,5,2491
22755,16,12818,Petrol,110,1,0,98,4,2403
23309,15,12595,Petrol,110,1,0,98,5,2491
20234,16,12493,Petrol,97,0,0,85,5,2447
25215,20,12427,Petrol,110,0,1,98,5,2568
30135,13,12420,Petrol,110,1,0,98,5,2491
23924,19,11388,Petrol,110,0,0,98,5,2491
25769,14,11120,Petrol,110,1,1,98,4,2535
21156,20,10750,Petrol,97,1,0,85,5,2447
24539,19,10587,Petrol,110,0,0,98,5,2491
22694,10,8542,Petrol,97,1,0,85,5,2447
23985,12,8472,Petrol,110,1,0,98,5,2458
26753,13,8188,Petrol,110,1,0,98,5,2491
20748,15,8175,Petrol,97,1,0,85,4,2392
23985,16,8078,Petrol,110,1,0,98,4,2436
23247,11,7767,Petrol,110,1,0,98,5,2458
24293,17,7456,Petrol,110,1,0,98,5,2491
24293,16,7304,Petrol,110,0,1,98,5,2601
23309,16,6835,Petrol,110,1,0,98,4,2436
25523,17,6214,Petrol,110,0,0,98,5,2436
24108,9,4753,Petrol,110,1,0,98,5,2458
23985,14,4039,Petrol,110,1,0,98,4,2425
21710,11,3825,Petrol,97,1,0,85,5,2447
24539,14,3728,Petrol,110,0,0,98,5,2491
24539,14,3392,Petrol,110,1,0,98,5,2491
25769,14,3280,Petrol,110,1,1,98,4,2535
25215,12,3107,Petrol,110,1,0,98,5,2491
21888,9,1,Petrol,98,1,0,85,4,2348
22441,9,1,Petrol,110,1,0,98,5,2370
29213,8,6835,Petrol,110,1,0,98,5,2491
23985,8,6262,Petrol,97,1,0,85,5,2447
23309,8,6214,Petrol,97,1,0,85,5,2447
26999,8,6082,Petrol,110,1,0,98,5,2491
24539,8,5328,Petrol,110,1,0,98,5,2491
23309,8,4350,Petrol,110,0,0,98,5,2458
24539,7,3884,Petrol,110,1,0,98,5,2458
26999,8,3107,Petrol,110,1,0,98,5,2491
27675,6,1864,Petrol,110,0,0,98,5,2491
22755,7,1243,Petrol,110,0,0,98,5,2370
23001,7,280,Petrol,97,1,0,85,5,2447
25984,2,140,Petrol,97,1,0,85,5,2447
26445,2,9,Petrol,110,1,0,98,5,2491
21888,1,1,Petrol,98,1,0,85,4,2425
22441,1,1,Petrol,110,1,0,98,5,2370
8549,43,150993,Diesel,69,0,0,116,3,2447
11685,38,112243,Diesel,90,0,0,122,4,2557
14699,40,111760,Diesel,90,1,0,122,5,2657
9533,43,111137,CNG,110,0,0,98,3,2390
14699,40,100041,Diesel,69,1,0,116,3,2436
5351,44,98375,Diesel,69,0,0,110,5,2447
5843,44,81569,Diesel,69,1,0,110,5,2447
14453,40,80817,Diesel,69,1,0,116,5,2513
16298,41,76693,Diesel,69,1,0,116,5,2513
14699,37,73457,Petrol,110,1,0,98,5,2370
14637,44,68351,Diesel,69,1,0,116,5,2414
18143,39,67634,Diesel,90,1,0,122,5,2657
12239,42,65678,Petrol,97,1,0,85,3,2260
14699,39,61406,CNG,110,1,0,98,5,2467
14139,44,60167,Petrol,110,1,0,98,5,2370
13838,40,59973,Petrol,97,1,0,85,3,2260
12915,42,57293,Petrol,110,1,0,98,5,2370
12854,35,56828,Diesel,69,1,0,116,3,2447
15929,43,55904,Diesel,69,1,0,116,5,2513
14145,44,55772,Petrol,110,1,0,98,3,2304
15375,40,53058,Petrol,110,1,0,98,5,2370
13469,43,52827,Petrol,97,0,0,85,5,2337
14084,41,52389,Petrol,110,0,0,98,5,2381
14699,37,51414,CNG,110,1,0,98,5,2471
16298,41,50397,Diesel,69,1,0,116,5,2513
18143,40,49974,Diesel,90,1,0,122,5,2657
14502,34,48888,Petrol,110,1,1,98,5,2436
14084,40,48731,Petrol,110,1,0,98,5,2370
16605,33,48534,Diesel,90,1,0,122,3,2579
13469,33,48045,Petrol,110,1,0,98,5,2370
16605,33,47037,Diesel,69,0,0,116,3,2436
13469,41,47036,Petrol,97,1,0,85,3,2260
13469,44,46507,Petrol,97,1,0,85,3,2260
15929,38,46180,Petrol,110,1,0,98,5,2370
14699,43,46159,Petrol,110,1,0,98,5,2370
15314,44,46088,Petrol,110,1,0,98,5,3560
14699,40,45386,Petrol,110,1,0,98,5,2370
18389,44,44610,CNG,110,1,0,98,4,2352
15314,35,44242,Petrol,110,1,0,98,5,2370
15929,38,42132,Petrol,110,1,0,98,5,2370
14699,35,41003,Petrol,110,1,0,98,3,2293
14379,34,40603,Petrol,97,1,0,85,5,2337
15314,42,40118,Petrol,110,1,0,98,5,2381
15683,36,39432,Petrol,97,1,0,85,5,2337
14668,44,39427,Petrol,97,0,0,85,3,2260
15929,33,38525,Petrol,110,1,0,98,5,2370
14699,42,38090,Petrol,97,1,0,85,3,2271
15867,41,38028,Petrol,110,1,0,98,3,2304
14637,41,37904,Petrol,110,0,0,98,5,2370
14330,38,37797,Petrol,110,1,0,98,5,2370
13469,44,37593,Petrol,110,0,0,98,5,2370
17159,35,36972,Diesel,69,1,0,116,3,2447
17159,44,36661,Petrol,110,0,1,98,5,2447
14699,40,36632,Petrol,110,1,0,98,5,2381
13469,38,36535,Petrol,110,1,0,98,5,2370
15314,38,36265,Petrol,110,1,0,98,3,2326
14699,43,36212,Petrol,110,1,0,98,3,2304
16605,33,35860,Diesel,90,1,0,122,3,2568
14379,33,35585,Petrol,110,1,0,98,5,2370
16605,39,34797,Petrol,110,1,0,98,5,2370
14699,42,34777,Petrol,110,0,0,98,3,2315
15867,39,34597,Petrol,110,1,0,98,4,2271
16605,43,34510,Petrol,110,1,0,98,5,2392
14453,42,34424,Petrol,110,0,0,98,5,2370
14453,33,34393,Petrol,110,0,0,98,5,2370
13346,43,33927,Petrol,110,0,0,98,4,2271
14453,43,33413,Petrol,110,1,0,98,5,2370
18389,42,33379,Petrol,110,1,1,98,5,2436
12226,39,33333,Petrol,110,1,0,98,5,2370
15867,42,33150,Petrol,110,0,0,98,5,2370
16605,38,32933,Petrol,110,1,0,98,5,2370
14453,44,32363,Petrol,97,1,0,85,3,2260
14699,44,32311,Petrol,97,0,0,85,3,2260
16544,33,32277,Petrol,110,1,0,98,5,2370
14699,41,32145,Petrol,97,1,0,85,3,2260
15369,39,31611,Petrol,110,1,0,98,5,2370
16605,41,31600,Petrol,110,0,0,98,4,2271
15683,40,31466,Petrol,110,1,0,98,5,2370
14760,39,31069,Petrol,97,1,0,85,5,2337
14699,38,30758,Petrol,110,1,0,98,5,2370
15369,44,30653,Petrol,110,1,0,98,5,2381
15314,34,30628,Petrol,110,1,0,98,3,2293
18143,40,30417,Diesel,90,1,0,122,5,2657
13469,39,30413,Petrol,110,0,0,98,3,2293
16605,33,30402,Diesel,69,1,0,116,3,2436
15929,38,29948,Petrol,110,1,0,98,5,2370
16605,35,29858,Diesel,69,1,0,116,3,2436
16544,34,29833,Petrol,110,1,0,98,4,2271
16605,43,29826,Petrol,110,1,0,98,5,2370
14120,41,29422,Petrol,110,1,0,98,5,2370
16544,39,29093,Petrol,97,1,0,85,5,2337
14139,39,29014,Petrol,110,0,0,98,3,2293
15683,43,28903,Petrol,97,0,0,85,5,2260
18438,38,28786,Petrol,110,1,0,98,3,2326
15929,35,28772,Petrol,97,1,0,85,5,2337
15929,40,28512,Petrol,110,1,0,98,5,2381
15806,39,28405,Petrol,97,1,0,85,5,2392
17159,40,28335,Petrol,110,1,1,98,5,2436
14699,41,28140,Petrol,110,1,0,98,5,2370
15929,39,28012,Petrol,110,1,0,98,5,2370
14391,40,27856,Petrol,110,1,0,98,5,2370
12239,37,27811,Petrol,97,0,0,85,3,2260
14631,44,27476,Petrol,97,1,0,85,5,2337
15929,43,27112,Petrol,110,1,0,98,5,2370
15375,36,26984,Petrol,110,1,0,98,3,2293
17066,39,26877,Petrol,110,1,0,98,5,2370
12915,35,26719,Petrol,110,0,0,98,3,2315
15123,33,26609,Petrol,110,1,0,98,5,2370
17159,42,26446,Petrol,110,1,0,98,5,2381
13469,38,25945,Petrol,110,0,0,98,3,2293
15929,44,25786,CNG,110,1,0,98,5,2432
15806,40,25687,Petrol,110,1,0,98,5,2381
17214,35,25476,Petrol,110,1,0,98,5,2370
16913,39,24855,Petrol,110,1,0,98,3,2326
15683,37,24704,Petrol,110,1,0,98,5,2370
15375,41,24643,Petrol,110,1,0,98,3,2304
17159,43,24637,Petrol,110,0,0,98,3,2326
14145,39,24559,Petrol,97,1,0,85,3,2260
17159,44,24554,Petrol,97,1,0,85,5,2337
14631,41,24506,Petrol,97,0,0,85,5,2337
12239,44,24233,Petrol,97,1,0,85,3,2260
16605,42,24191,Petrol,110,1,0,98,3,2293
14084,37,24117,Petrol,97,0,0,85,3,2260
15314,42,24025,Petrol,110,1,0,98,5,2370
15929,40,24018,Petrol,110,1,0,98,5,2381
17214,44,23899,Petrol,110,1,0,98,5,2381
14453,42,23661,Petrol,97,0,0,85,3,2260
14330,39,23477,Petrol,97,1,0,85,5,2337
12239,43,23349,Petrol,97,0,0,85,3,2271
17159,41,23322,Petrol,110,1,0,98,5,2370
15929,44,23232,Petrol,110,1,0,98,5,2381
13469,38,23190,Petrol,97,1,0,85,3,2260
12177,42,22991,Petrol,97,1,0,85,3,2260
14699,44,22991,Petrol,110,0,0,98,4,2370
14748,40,22721,Petrol,110,0,0,98,5,2403
13223,36,22537,Petrol,110,1,0,98,5,2370
17159,37,22415,Petrol,110,1,1,98,5,2370
13838,44,22410,Petrol,110,1,0,98,3,2293
15929,39,21499,Petrol,110,1,0,98,5,2370
14699,41,21127,Petrol,110,1,0,98,5,2370
13469,42,20892,Petrol,97,1,0,85,3,2260
15929,33,20872,Petrol,110,1,0,98,5,2370
15929,35,20666,Petrol,110,1,0,98,5,2370
14385,43,20575,Petrol,110,1,0,98,5,2370
13530,41,20505,Petrol,110,1,1,98,5,2370
17159,35,20469,Petrol,110,1,0,98,5,2381
14699,38,20369,Petrol,110,0,0,98,5,2370
14453,40,20214,Petrol,110,1,0,98,3,2293
15252,34,20152,Petrol,97,1,0,85,5,2337
15375,35,19884,Petrol,110,0,0,98,3,2293
15867,33,19263,Petrol,110,1,0,98,5,2370
15006,41,19256,Petrol,110,0,0,98,3,2304
15683,43,19102,Petrol,110,1,0,98,3,2293
14699,42,18759,Petrol,110,1,0,98,5,2370
14637,41,18465,Petrol,116,1,0,98,5,2370
14699,44,18465,Petrol,110,1,1,98,3,2359
18389,42,18417,Petrol,110,0,0,98,3,2326
14699,41,18055,Petrol,97,1,0,85,5,2337
15929,33,17843,Petrol,110,1,0,98,5,2370
18389,41,17753,Petrol,110,0,0,98,5,2403
16544,40,17623,Petrol,110,1,0,98,3,2293
16913,38,17492,Petrol,110,1,0,98,5,2370
15929,43,16964,Petrol,110,1,0,98,3,2293
15683,33,16926,Petrol,110,1,0,98,5,2370
14631,39,16883,Petrol,97,1,0,85,5,2337
12239,42,16865,Petrol,97,1,0,85,5,2337
15314,38,16318,Petrol,110,1,0,98,5,2370
15375,38,16156,Petrol,97,1,0,85,5,2337
18389,43,15676,Petrol,110,1,0,98,3,2304
16913,39,15573,Petrol,110,1,0,98,5,2381
15615,39,15362,Petrol,110,1,1,98,4,2337
18438,33,15317,Petrol,110,1,0,98,3,2326
15683,43,15257,Petrol,110,1,0,98,5,2381
17651,41,15208,Petrol,110,1,0,98,5,2271
15929,39,15189,Petrol,110,1,0,98,3,2293
14145,35,14920,Petrol,97,0,0,85,3,2260
14699,41,14913,Petrol,97,1,0,85,3,2260
16544,40,14674,Petrol,110,1,0,98,5,2370
15867,38,14208,Petrol,110,1,0,98,5,2370
12915,41,14155,Petrol,86,1,0,79,5,2282
13469,35,13611,Petrol,97,0,0,85,3,2260
14699,41,13453,Petrol,97,0,0,85,3,2260
14084,37,13359,Petrol,110,1,0,98,5,2271
16298,44,13066,Petrol,110,1,0,98,5,2381
12608,39,11495,Petrol,110,0,0,98,4,2271
17214,35,11185,Petrol,110,1,0,98,5,2370
14699,40,10595,Petrol,97,0,0,85,5,2337
16298,33,10260,Petrol,97,1,0,85,5,2392
15929,40,10144,Petrol,110,1,0,98,5,2381
14453,38,9942,Petrol,97,1,0,85,5,2337
14145,39,7456,Petrol,110,1,0,98,5,2370
16605,43,6214,Petrol,97,1,0,85,5,2337
7995,53,134216,Diesel,69,0,0,116,3,2447
7872,51,123135,Diesel,69,0,0,116,4,2414
8610,53,109361,Diesel,69,0,0,116,3,2436
9533,54,108205,Diesel,72,1,0,122,4,2425
10947,45,108119,Diesel,69,1,0,116,5,2414
10455,55,93206,CNG,110,1,0,98,3,2370
11009,54,92789,Diesel,72,1,0,122,5,2502
12177,51,91177,Petrol,110,1,0,98,5,2381
12608,53,89175,Diesel,69,0,0,116,5,2513
11378,48,88315,CNG,110,0,0,98,5,2467
9533,48,87427,Diesel,69,1,0,116,5,2447
11624,54,85994,Diesel,69,1,0,116,4,2414
9533,55,85128,Diesel,72,1,0,122,5,2502
10148,52,84045,Diesel,69,1,0,116,5,2513
12239,49,81626,Petrol,110,1,0,98,5,2370
5474,56,80253,Diesel,69,0,0,110,5,2447
12239,50,78361,Petrol,110,0,0,98,3,2326
11070,48,74404,Petrol,110,1,0,98,5,2381
12239,53,73268,Diesel,69,1,0,116,5,2447
15314,47,72968,Diesel,90,1,0,122,3,2568
12915,55,72809,Petrol,110,1,0,98,4,2282
13223,54,71804,Petrol,110,1,0,98,4,2282
11009,53,71528,Petrol,97,1,0,85,3,2260
12915,54,71486,Diesel,69,1,0,116,5,2513
6335,56,70834,Diesel,72,1,0,122,5,2502
13469,49,67020,Petrol,97,0,0,85,5,2337
11624,52,65123,Petrol,97,1,0,85,3,2260
12239,54,64283,Petrol,110,1,0,98,5,2370
13469,51,64012,Diesel,69,0,0,116,5,2513
14637,47,63599,Petrol,110,1,0,98,5,2381
12239,50,63398,Petrol,97,1,0,85,5,2337
14699,54,62977,Petrol,110,0,0,98,5,2381
9717,50,62053,Petrol,110,1,0,98,4,2282
13469,52,61716,Petrol,110,1,0,98,3,2326
11009,48,60956,Diesel,69,1,0,116,5,2513
14699,51,60919,Petrol,110,0,0,98,5,2381
13407,49,60646,Petrol,110,1,0,98,3,2304
12239,55,60418,Petrol,110,0,0,98,5,2381
12239,51,59736,Diesel,72,0,0,122,3,2458
13469,54,59714,Petrol,110,1,0,98,5,2381
11009,55,58658,Diesel,72,0,0,122,3,2458
11009,55,58485,Petrol,86,1,0,79,3,2238
12915,49,56756,Petrol,110,1,0,98,3,2326
11009,53,56048,Petrol,97,0,0,85,3,2260
11378,53,55984,Diesel,69,1,0,116,5,2513
14145,48,55332,Petrol,97,1,0,85,5,2337
11993,52,55302,Petrol,110,0,0,98,5,2370
12239,45,54230,Petrol,110,1,0,98,3,2293
14084,49,53575,Petrol,110,0,0,98,3,2304
15375,54,52567,Petrol,110,0,0,98,5,2370
12915,50,51926,Petrol,110,0,0,98,5,2370
15929,50,51640,Petrol,110,1,0,98,5,2370
15006,50,51453,Petrol,110,1,0,98,3,2293
13469,50,51409,Petrol,97,1,0,85,3,2271
13469,54,50893,Petrol,110,1,0,98,5,2436
13887,49,49909,Petrol,110,1,1,98,3,2359
13223,49,49766,Petrol,97,1,0,85,3,2271
13401,53,49585,Petrol,110,0,0,98,5,2370
14145,47,48955,CNG,110,1,0,98,5,2467
11993,48,48840,Petrol,110,1,0,98,5,2370
12608,55,48330,Petrol,110,0,0,98,3,2293
15375,49,48248,Petrol,110,0,0,98,4,2271
14699,54,48013,Petrol,110,1,0,98,4,2282
13223,50,47328,Petrol,97,1,0,85,5,2337
14084,46,46758,Petrol,110,1,0,98,4,2282
14699,54,46746,Petrol,110,1,0,98,5,2381
14453,48,46631,Petrol,110,1,0,98,3,2326
13469,50,46509,Petrol,110,1,1,98,4,2337
14699,55,46426,Petrol,110,1,0,98,5,2381
13524,49,46389,Diesel,69,0,0,116,3,2436
14084,56,46292,Petrol,97,0,0,85,3,2260
10947,49,46288,Petrol,110,1,0,98,5,2370
12915,50,45754,Petrol,110,0,0,97,5,2370
14453,47,45610,Petrol,110,1,0,98,5,2370
14084,49,45469,Petrol,97,1,0,85,3,2271
14760,52,45360,Petrol,110,0,0,98,3,2326
14699,50,44889,Petrol,110,0,1,98,3,2359
12116,53,44739,Petrol,97,1,0,85,3,2260
13469,54,44568,Petrol,110,1,0,98,4,2282
13469,54,44289,Petrol,110,0,0,98,5,2381
10695,50,43769,Diesel,69,1,0,116,3,2436
13518,53,43644,Petrol,110,0,0,98,3,2293
11685,55,43380,Petrol,97,1,0,85,3,2260
14699,49,43284,Petrol,86,0,0,79,3,2260
13223,46,43231,Petrol,97,0,0,85,5,2348
10763,47,42875,Diesel,69,1,0,116,5,2513
10763,49,42604,Petrol,110,1,0,98,4,2271
14084,55,42576,Diesel,72,1,0,122,3,2458
12239,46,42510,Petrol,97,0,0,85,3,2260
14699,56,41493,Petrol,110,0,0,98,5,2403
17159,52,41338,Petrol,110,1,0,98,5,2381
13838,54,41050,Petrol,110,1,0,98,5,2403
13407,50,40682,Petrol,97,1,0,85,5,2337
11993,56,40638,Petrol,97,1,0,85,3,2260
12239,52,40495,Petrol,97,1,0,85,3,2260
14699,56,40389,Petrol,110,1,0,98,5,2370
12854,48,39888,Petrol,110,1,0,98,3,2293
11009,54,39768,Petrol,97,1,0,85,3,2260
12608,54,39638,Petrol,110,1,0,98,5,2370
12214,53,39541,Petrol,110,1,0,98,4,2282
12915,54,39230,Petrol,110,1,0,98,3,2315
14699,54,39223,Petrol,110,1,0,98,4,2282
14145,48,39146,Diesel,69,1,0,116,5,2513
14145,55,39146,Petrol,110,0,0,98,4,2282
14084,54,39138,Petrol,110,0,0,98,5,2381
12177,56,38992,Petrol,110,0,0,98,3,2315
11685,54,38847,Petrol,97,0,0,85,3,2260
12915,50,38699,Petrol,97,1,0,85,5,2337
13223,50,38321,Petrol,110,0,0,98,5,2370
11009,54,37904,Diesel,69,0,0,122,5,2513
14760,56,37904,Petrol,110,1,0,98,3,2315
12226,53,37629,Petrol,110,1,0,98,4,2436
13469,47,37498,Petrol,110,0,0,98,4,2271
13223,54,37431,Petrol,110,1,0,98,5,2370
12053,51,36661,Petrol,97,1,0,85,3,2260
14453,51,36512,Petrol,97,0,0,79,5,2337
14699,54,36502,Petrol,110,1,0,98,4,2282
13838,52,36410,Petrol,110,1,0,98,3,2304
14453,54,36369,Petrol,110,0,0,98,5,2370
13469,55,36274,Petrol,110,1,0,98,3,2315
13838,56,36128,Petrol,110,1,0,98,5,2381
12239,53,36007,Petrol,97,1,0,85,3,2260
11931,51,35819,Petrol,110,0,0,98,5,2381
14699,47,35729,Petrol,110,1,0,98,4,2436
12177,53,35713,Petrol,110,0,0,98,3,2293
12288,55,35258,Petrol,110,0,0,98,3,2304
11654,48,35216,Petrol,97,1,0,85,3,2260
14145,54,34720,Petrol,110,1,0,98,5,2370
14699,53,34486,Petrol,110,1,0,98,4,2282
14145,55,34113,Petrol,97,1,0,85,5,2337
12915,50,33843,Petrol,110,0,0,98,5,2370
13407,46,33368,Petrol,97,1,0,85,5,2337
14391,52,33281,Petrol,97,1,0,85,5,2337
14637,51,33186,Petrol,110,1,0,98,5,2381
17159,51,33099,Petrol,110,1,0,98,5,2381
13469,49,33005,Petrol,97,1,0,85,3,2260
12915,56,32590,Petrol,97,0,0,85,3,2260
13223,55,32404,Petrol,97,1,0,85,3,2392
14699,55,32399,Petrol,110,1,0,98,5,2359
12300,56,32311,Petrol,97,0,0,85,3,2260
12909,48,31669,Petrol,97,1,0,85,5,2337
14084,50,31317,Petrol,110,0,0,98,5,2381
11562,54,31069,Petrol,97,1,0,85,3,2260
14699,51,31069,Petrol,86,1,0,79,5,2304
11870,53,31049,Petrol,110,0,0,98,5,2370
23309,49,30800,Petrol,110,1,0,98,3,2436
14084,51,30741,Petrol,110,0,0,98,3,2326
12608,52,30716,Petrol,110,1,0,98,3,2315
14084,48,30706,Petrol,110,1,0,98,3,2304
12239,54,30675,Petrol,97,1,0,85,3,2260
12915,56,30280,Petrol,110,1,0,98,3,2326
16913,54,30056,Petrol,110,1,0,98,5,2381
12239,48,29870,Petrol,97,0,0,85,3,2260
12608,54,29734,Petrol,110,1,0,98,4,2271
13346,54,29682,Petrol,110,0,0,98,3,2326
14631,52,29633,Petrol,110,0,0,98,5,2370
15929,53,29485,Petrol,110,1,0,98,3,2326
14699,50,29341,Petrol,110,1,0,98,5,2381
13223,56,29336,Petrol,110,1,0,98,5,2359
11747,54,29115,Petrol,97,0,0,85,5,2337
13469,56,28894,Petrol,86,0,0,79,5,2282
